subject,section,traial,Amount of deformation,answer1,answer2
3,15,186,60,2,4
3,15,187,18,5,1
3,15,188,68,2,4
3,15,189,26,4,2
3,15,190,76,1,5
3,15,191,35,4,4
3,15,192,85,2,3
3,15,193,43,3,3
3,15,194,93,1,3
3,15,195,100,1,4
3,16,196,100,1,4
3,16,197,93,1,4
3,16,198,85,1,4
3,16,199,76,2,4
3,16,200,68,3,4
3,16,201,60,3,4
3,16,202,52,3,3
3,16,203,43,4,2
3,16,204,35,3,2
3,16,205,26,5,2
3,16,206,18,5,2
3,16,207,10,5,1
3,16,208,0,3,3
4,1,1,100,1,2
4,1,2,52,2,2
4,1,3,93,2,2
4,1,4,43,2,2
4,1,5,85,1,2
4,1,6,35,2,3
4,1,7,76,1,2
4,1,8,26,3,3
4,1,9,68,1,2
4,1,10,18,4,1
4,1,11,60,2,3
4,1,12,10,4,1
4,1,13,0,2,2
4,2,14,100,1,4
4,2,15,85,1,4
4,2,16,68,2,5
4,2,17,52,2,4
4,2,18,35,3,3
4,2,19,18,4,2
4,2,20,0,4,1
4,2,21,10,4,2
4,2,22,26,5,1
4,2,23,43,2,4
4,2,24,60,1,4
4,2,25,76,1,5
4,2,26,93,1,5
4,3,27,0,4,1
4,3,28,10,4,2
4,3,29,18,4,1
4,3,30,26,4,4
4,3,31,35,2,4
4,3,32,43,1,5
4,3,33,52,1,4
4,3,34,60,1,5
4,3,35,68,1,5
4,3,36,76,1,5
4,3,37,85,1,5
4,3,38,93,1,5
4,3,39,100,1,5
4,4,40,100,1,5
4,4,41,93,1,5
4,4,42,85,1,5
4,4,43,18,5,1
4,4,44,10,5,1
4,4,45,0,4,2
4,4,46,60,2,4
4,4,47,68,2,4
4,4,48,76,2,4
4,4,49,26,3,3
4,4,50,35,3,3
4,4,51,43,2,4
4,4,52,52,2,4
4,5,53,0,5,2
4,5,54,10,2,2
4,5,55,18,4,1
4,5,56,100,1,5
4,5,57,93,1,5
4,5,58,85,1,5
4,5,59,76,1,5
4,5,60,43,2,4
4,5,61,35,3,3
4,5,62,26,4,3
4,5,63,68,1,5
4,5,64,60,1,4
4,5,65,52,2,4
4,6,66,0,4,1
4,6,67,18,5,1
4,6,68,35,4,4
4,6,69,52,3,4
4,6,70,68,2,5
4,6,71,85,1,5
4,6,72,100,1,5
4,6,73,93,1,5
4,6,74,76,1,4
4,6,75,60,1,4
4,6,76,43,1,4
4,6,77,26,4,2
4,6,78,10,5,1
4,7,79,100,1,5
4,7,80,93,1,5
4,7,81,85,1,5
4,7,82,76,1,5
4,7,83,68,1,4
4,7,84,60,1,4
4,7,85,52,2,4
4,7,86,43,2,4
4,7,87,35,4,3
4,7,88,26,5,2
4,7,89,18,5,1
4,7,90,10,5,1
4,7,91,0,5,1
4,8,92,0,5,1
4,8,93,52,2,5
4,8,94,10,4,1
4,8,95,60,2,5
4,8,96,18,5,1
4,8,97,68,3,4
4,8,98,26,4,3
4,8,99,76,1,5
4,8,100,35,2,4
4,8,101,85,1,5
4,8,102,43,3,3
4,8,103,93,1,5
4,8,104,100,1,5
4,9,105,0,5,1
4,9,106,18,5,1
4,9,107,35,4,2
4,9,108,52,2,5
4,9,109,68,1,5
4,9,110,85,1,5
4,9,111,100,1,5
4,9,112,93,1,5
4,9,113,76,2,5
4,9,114,60,2,4
4,9,115,43,3,4
4,9,116,26,3,3
4,9,117,10,5,1
4,10,118,0,5,1
4,10,119,10,5,1
4,10,120,18,5,2
4,10,121,100,1,5
4,10,122,93,1,5
4,10,123,85,1,5
4,10,124,76,1,5
4,10,125,43,1,4
4,10,126,35,2,4
4,10,127,26,3,3
4,10,128,68,2,4
4,10,129,60,2,4
4,10,130,52,2,4
4,11,131,100,1,5
4,11,132,52,2,4
4,11,133,93,1,5
4,11,134,43,2,4
4,11,135,85,1,5
4,11,136,35,3,3
4,11,137,76,2,4
4,11,138,26,4,3
4,11,139,68,1,5
4,11,140,18,5,1
4,11,141,60,1,5
4,11,142,10,5,1
4,11,143,0,5,2
4,12,144,0,4,1
4,12,145,10,5,1
4,12,146,18,5,1
4,12,147,26,4,3
4,12,148,35,3,4
4,12,149,43,3,4
4,12,150,52,2,4
4,12,151,60,2,4
4,12,152,68,2,5
4,12,153,76,1,5
4,12,154,85,1,5
4,12,155,93,1,5
4,12,156,100,1,5
4,13,157,100,1,5
4,13,158,85,1,5
4,13,159,68,1,5
4,13,160,52,2,4
4,13,161,35,1,4
4,13,162,18,4,2
4,13,163,0,5,1
4,13,164,10,5,1
4,13,165,26,5,1
4,13,166,43,2,4
4,13,167,60,2,4
4,13,168,76,1,5
4,13,169,93,1,5
4,14,170,100,1,5
4,14,171,93,1,5
4,14,172,85,1,5
4,14,173,76,2,5
4,14,174,68,2,4
4,14,175,60,2,4
4,14,176,52,3,4
4,14,177,43,3,3
4,14,178,35,3,3
4,14,179,26,4,2
4,14,180,18,5,1
4,14,181,10,5,1
4,14,182,0,5,1
4,15,183,100,1,5
4,15,184,93,1,5
4,15,185,85,1,5
4,15,186,18,5,2
4,15,187,10,5,1
4,15,188,0,5,2
4,15,189,60,2,5
4,15,190,68,1,4
4,15,191,76,1,5
4,15,192,26,3,3
4,15,193,35,3,4
4,15,194,43,3,4
4,15,195,52,2,4
4,16,196,0,5,1
4,16,197,52,2,4
4,16,198,10,5,1
4,16,199,60,2,4
4,16,200,18,5,1
4,16,201,68,1,5
4,16,202,26,4,3
4,16,203,76,1,5
4,16,204,35,2,4
4,16,205,85,1,5
4,16,206,43,3,4
4,16,207,93,1,5
4,16,208,100,1,5
5,1,1,0,4,2
5,1,2,52,3,4
5,1,3,10,5,1
5,1,4,60,2,5
5,1,5,18,4,4
5,1,6,68,2,5
5,1,7,26,3,4
5,1,8,76,3,5
5,1,9,35,4,3
5,1,10,85,2,5
5,1,11,43,3,5
5,1,12,93,1,5
5,1,13,100,1,5
5,2,14,100,2,4
5,2,15,85,1,5
5,2,16,68,2,4
5,2,17,52,3,4
5,2,18,35,4,2
5,2,19,18,5,3
5,2,20,0,4,2
5,2,21,10,5,2
5,2,22,26,4,5
5,2,23,43,3,5
5,2,24,60,3,5
5,2,25,76,2,5
5,2,26,93,2,5
5,3,27,0,4,2
5,3,28,18,4,2
5,3,29,35,4,4
5,3,30,52,4,4
5,3,31,68,3,5
5,3,32,85,2,5
5,3,33,100,1,5
5,3,34,93,1,5
5,3,35,76,3,5
5,3,36,60,3,5
5,3,37,43,4,5
5,3,38,26,4,4
5,3,39,10,5,5
5,4,40,0,5,2
5,4,41,10,5,2
5,4,42,18,3,3
5,4,43,100,2,5
5,4,44,93,1,5
5,4,45,85,2,5
5,4,46,76,2,5
5,4,47,43,4,3
5,4,48,35,4,3
5,4,49,26,4,2
5,4,50,68,2,4
5,4,51,60,3,5
5,4,52,52,2,5
5,5,53,0,5,2
5,5,54,10,5,1
5,5,55,18,5,2
5,5,56,26,4,4
5,5,57,35,5,3
5,5,58,43,3,5
5,5,59,52,2,5
5,5,60,60,2,5
5,5,61,68,2,5
5,5,62,76,2,5
5,5,63,85,1,5
5,5,64,93,1,5
5,5,65,100,1,5
5,6,66,100,2,5
5,6,67,93,2,5
5,6,68,85,2,5
5,6,69,76,2,5
5,6,70,68,2,5
5,6,71,60,2,5
5,6,72,52,3,5
5,6,73,43,3,4
5,6,74,35,3,4
5,6,75,26,4,3
5,6,76,18,4,2
5,6,77,10,4,2
5,6,78,0,4,1
5,7,79,100,3,5
5,7,80,93,3,5
5,7,81,85,5,5
5,7,82,18,4,3
5,7,83,10,5,2
5,7,84,0,5,3
5,7,85,60,2,5
5,7,86,68,2,5
5,7,87,76,3,5
5,7,88,26,3,4
5,7,89,35,3,4
5,7,90,43,3,5
5,7,91,52,3,4
5,8,92,100,1,5
5,8,93,52,4,3
5,8,94,93,2,5
5,8,95,43,3,5
5,8,96,85,1,4
5,8,97,35,4,5
5,8,98,76,2,3
5,8,99,26,4,5
5,8,100,68,2,4
5,8,101,18,4,2
5,8,102,60,2,5
5,8,103,10,5,1
5,8,104,0,4,3
5,9,105,100,2,5
5,9,106,52,2,5
5,9,107,93,2,5
5,9,108,43,2,5
5,9,109,85,2,5
5,9,110,35,3,5
5,9,111,76,2,5
5,9,112,26,3,2
5,9,113,68,2,4
5,9,114,18,4,2
5,9,115,60,2,4
5,9,116,10,5,2
5,9,117,0,4,1
5,10,118,0,4,2
5,10,119,52,3,5
5,10,120,10,5,1
5,10,121,60,2,5
5,10,122,18,4,4
5,10,123,68,2,5
5,10,124,26,3,4
5,10,125,76,3,5
5,10,126,35,3,5
5,10,127,85,2,5
5,10,128,43,3,5
5,10,129,93,2,5
5,10,130,100,2,5
5,11,131,0,5,2
5,11,132,10,5,2
5,11,133,18,3,3
5,11,134,100,2,5
5,11,135,93,2,5
5,11,136,85,2,5
5,11,137,76,2,5
5,11,138,43,3,5
5,11,139,35,2,5
5,11,140,26,3,5
5,11,141,68,3,5
5,11,142,60,3,5
5,11,143,52,2,5
5,12,144,0,5,2
5,12,145,10,5,1
5,12,146,18,5,2
5,12,147,26,4,4
5,12,148,35,3,5
5,12,149,43,3,5
5,12,150,52,2,5
5,12,151,60,2,5
5,12,152,68,2,5
5,12,153,76,2,5
5,12,154,85,1,5
5,12,155,93,1,5
5,12,156,100,1,5
5,13,157,100,2,5
5,13,158,93,2,5
5,13,159,85,2,5
5,13,160,18,4,2
5,13,161,10,5,2
5,13,162,0,5,2
5,13,163,60,2,5
5,13,164,68,2,5
5,13,165,76,2,5
5,13,166,26,3,3
5,13,167,35,3,3
5,13,168,43,3,3
5,13,169,52,3,2
5,14,170,100,2,5
5,14,171,93,2,5
5,14,172,85,2,5
5,14,173,76,2,5
5,14,174,68,3,5
5,14,175,60,3,5
5,14,176,52,4,5
5,14,177,43,3,5
5,14,178,35,4,5
5,14,179,26,4,5
5,14,180,18,4,3
5,14,181,10,5,2
5,14,182,0,4,2
5,15,183,0,5,2
5,15,184,18,4,4
5,15,185,35,3,5
5,15,186,52,3,5
5,15,187,68,2,5
5,15,188,85,2,5
5,15,189,100,2,5
5,15,190,93,2,5
5,15,191,76,2,5
5,15,192,60,2,5
5,15,193,43,3,3
5,15,194,26,4,2
5,15,195,10,5,1
5,16,196,100,2,5
5,16,197,85,2,5
5,16,198,68,2,5
5,16,199,52,3,5
5,16,200,35,3,4
5,16,201,18,4,3
5,16,202,0,5,1
5,16,203,10,5,3
5,16,204,26,4,2
5,16,205,43,3,4
5,16,206,60,2,5
5,16,207,76,2,5
5,16,208,93,1,4
6,1,1,100,1,5
6,1,2,52,1,5
6,1,3,93,1,5
6,1,4,43,1,5
6,1,5,85,1,5
6,1,6,35,2,5
6,1,7,76,1,5
6,1,8,26,2,5
6,1,9,68,1,5
6,1,10,18,4,2
6,1,11,60,1,5
6,1,12,10,4,1
6,1,13,0,3,2
6,2,14,0,3,4
6,2,15,10,4,2
6,2,16,18,4,5
6,2,17,100,5,5
6,2,18,93,1,5
6,2,19,85,1,5
6,2,20,76,1,5
6,2,21,43,2,5
6,2,22,35,2,5
6,2,23,26,3,4
6,2,24,68,1,5
6,2,25,60,1,5
6,2,26,52,1,5
6,3,27,0,3,4
6,3,28,10,5,2
6,3,29,18,4,3
6,3,30,26,4,4
6,3,31,35,1,5
6,3,32,43,1,5
6,3,33,52,1,5
6,3,34,60,1,5
6,3,35,68,1,5
6,3,36,76,1,5
6,3,37,85,1,5
6,3,38,93,1,5
6,3,39,100,1,5
6,4,40,100,1,5
6,4,41,93,1,5
6,4,42,85,1,5
6,4,43,18,3,4
6,4,44,10,5,1
6,4,45,0,4,3
6,4,46,60,1,5
6,4,47,68,1,5
6,4,48,76,1,5
6,4,49,26,3,4
6,4,50,35,3,5
6,4,51,43,1,5
6,4,52,52,1,5
6,5,53,100,1,5
6,5,54,85,1,5
6,5,55,68,1,5
6,5,56,52,2,5
6,5,57,35,3,5
6,5,58,18,4,2
6,5,59,0,4,4
6,5,60,10,5,1
6,5,61,26,4,3
6,5,62,43,1,5
